strain,host,plasmid,medium,replicate,plate,well,OD_abs,OD_culture,OD_norm,OD_norm.rel
MG1655+Cm_pOXA48,MG1655+Cm,pOXA48,M9,1,3,F12,0.108000003,0.194299996,0.555841508,1.316162873
MG1655+Cm_pOXA48,MG1655+Cm,pOXA48,M9,3,3,H2,0.126900002,0.241600007,0.525248339,1.243722092
MG1655+Stm,MG1655+Stm,NA,M9,2,1,B7,0.610899985,0.220400006,2.771778445,1.597586694
MG1655+Stm,MG1655+Stm,NA,M9,3,1,D1,0.373100013,0.281899989,1.323519076,0.762844689
MG1655+Stm,MG1655+Stm,NA,M9,1,1,D11,0.108599998,0.455799997,0.238262393,0.137328735
MG1655+Stm,MG1655+Stm,NA,M9,3,2,B9,0.502699971,0.224800006,2.236209781,1.288897746
MG1655+Stm,MG1655+Stm,NA,M9,2,2,D3,0.667999983,0.265100002,2.519803761,1.452354523
MG1655+Stm,MG1655+Stm,NA,M9,1,2,D11,0.621999979,0.233899996,2.659256052,1.532731482
MG1655+Stm,MG1655+Stm,NA,M9,3,3,D12,0.354299992,0.219400004,1.614858644,0.930765836
MG1655+Stm,MG1655+Stm,NA,M9,1,3,F7,0.249400005,0.241600007,1.032284759,0.594984205
MG1655+Stm,MG1655+Stm,NA,M9,2,3,H6,0.275700003,0.226199999,1.218832907,0.702506089
MG1655+Stm_pESBL1,MG1655+Stm,pESBL1,M9,3,1,C4,0.587700009,0.2368,2.481841255,1.430473844
MG1655+Stm_pESBL1,MG1655+Stm,pESBL1,M9,1,1,C5,0.421499997,0.190099999,2.217254071,1.277972129
MG1655+Stm_pESBL1,MG1655+Stm,pESBL1,M9,2,1,F10,0.692799985,0.250699997,2.763462281,1.592793456
MG1655+Stm_pESBL1,MG1655+Stm,pESBL1,M9,2,2,A10,0.3935,0.240799993,1.634136259,0.941876992
MG1655+Stm_pESBL1,MG1655+Stm,pESBL1,M9,3,2,D10,0.366899997,0.29550001,1.241624312,0.715642509
MG1655+Stm_pESBL1,MG1655+Stm,pESBL1,M9,1,2,F11,0.356900007,0.262899995,1.357550451,0.782459558
MG1655+Stm_pESBL1,MG1655+Stm,pESBL1,M9,2,3,A7,0.352800012,0.180500001,1.954570694,1.126567724
MG1655+Stm_pESBL1,MG1655+Stm,pESBL1,M9,3,3,A9,0.479299992,0.218700007,2.191586547,1.263177983
MG1655+Stm_pESBL1,MG1655+Stm,pESBL1,M9,1,3,G4,0.495400012,0.189099997,2.619777994,1.509977275
MG1655+Stm_pESBL15,MG1655+Stm,pESBL15,M9,2,1,A1,0.258700013,0.265599996,0.974021149,0.561402456
MG1655+Stm_pESBL15,MG1655+Stm,pESBL15,M9,1,1,A7,0.607299984,0.227200001,2.672975262,1.540638906
MG1655+Stm_pESBL15,MG1655+Stm,pESBL15,M9,3,1,G8,0.384900004,0.253800005,1.51654845,0.874102196
MG1655+Stm_pESBL15,MG1655+Stm,pESBL15,M9,3,2,A4,0.488499999,0.203199998,2.404035457,1.385628446
