Trial.date,image.ID,Microbetreatment,Assay.replicate,Timepoint,Minutes,initialOD,Total.pollen,number.germ,number.burst,number.tip.burst,Proportion.germinated,Proportion.burst,Proportion_tip_burst,allgerm,allburst
01.16.20,a1,(undiluted),1,4h,240,0.1,43,5,2,8,0.11627907,0.046511628,0.186046512,0.302325581,0.23255814
01.16.20,b1,(1:2),1,4h,240,0.05,51,5,0,13,0.098039216,0,0.254901961,0.352941176,0.254901961
01.16.20,c1,(1:3),1,4h,240,0.033333333,67,12,1,10,0.179104478,0.014925373,0.149253731,0.328358209,0.164179104
01.16.20,d1,(1:5),1,4h,240,0.02,69,8,3,19,0.115942029,0.043478261,0.275362319,0.391304348,0.31884058
01.16.20,e1,(1:20),1,4h,240,0.005,78,15,0,2,0.192307692,0,0.025641026,0.217948718,0.025641026
01.16.20,f1,(1:100),1,4h,240,0.001,66,3,1,1,0.045454545,0.015151515,0.015151515,0.060606061,0.03030303
01.16.20,g1,(sterile BK),1,4h,240,0,72,0,0,0,0,0,0,0,0
01.16.20,a2,(undiluted),2,4h,240,0.1,33,4,1,11,0.121212121,0.03030303,0.333333333,0.454545455,0.363636364
01.16.20,b2,(1:2),2,4h,240,0.05,53,7,0,14,0.132075472,0,0.264150943,0.396226415,0.264150943
01.16.20,c2,(1:3),2,4h,240,0.033333333,41,10,1,6,0.243902439,0.024390244,0.146341463,0.390243902,0.170731707
01.16.20,d2,(1:5),2,4h,240,0.02,72,13,2,16,0.180555556,0.027777778,0.222222222,0.402777778,0.25
01.16.20,e2,(1:20),2,4h,240,0.005,85,23,3,3,0.270588235,0.035294118,0.035294118,0.305882353,0.070588235
01.16.20,f2,(1:100),2,4h,240,0.001,66,1,0,1,0.015151515,0,0.015151515,0.03030303,0.015151515
01.16.20,g2,(sterile BK),2,4h,240,0,43,1,0,0,0.023255814,0,0,0.023255814,0
01.16.20,a3,(undiluted),3,4h,240,0.1,27,5,0,4,0.185185185,0,0.148148148,0.333333333,0.148148148
01.16.20,b3,(1:2),3,4h,240,0.05,30,4,1,8,0.133333333,0.033333333,0.266666667,0.4,0.3
01.16.20,c3,(1:3),3,4h,240,0.033333333,21,6,2,2,0.285714286,0.095238095,0.095238095,0.380952381,0.19047619
01.16.20,d3,(1:5),3,4h,240,0.02,28,4,0,7,0.142857143,0,0.25,0.392857143,0.25
01.16.20,e3,(1:20),3,4h,240,0.005,40,8,1,1,0.2,0.025,0.025,0.225,0.05
01.16.20,f3,(1:100),3,4h,240,0.001,67,12,0,1,0.179104478,0,0.014925373,0.194029851,0.014925373
01.16.20,g3,(sterile BK),3,4h,240,0,45,0,0,0,0,0,0,0,0
01.16.20,a1,(undiluted),1,6h,360,0.1,33,4,3,8,0.121212121,0.090909091,0.242424242,0.363636364,0.333333333
01.16.20,b1,(1:2),1,6h,360,0.05,37,4,1,8,0.108108108,0.027027027,0.216216216,0.324324324,0.243243243
01.16.20,c1,(1:3),1,6h,360,0.033333333,51,8,0,13,0.156862745,0,0.254901961,0.411764706,0.254901961
01.16.20,d1,(1:5),1,6h,360,0.02,68,9,4,13,0.132352941,0.058823529,0.191176471,0.323529412,0.25
01.16.20,e1,(1:20),1,6h,360,0.005,65,10,2,22,0.153846154,0.030769231,0.338461538,0.492307692,0.369230769
01.16.20,f1,(1:100),1,6h,360,0.001,64,8,1,1,0.125,0.015625,0.015625,0.140625,0.03125
01.16.20,g1,(sterile BK),1,6h,360,0,80,3,0,0,0.0375,0,0,0.0375,0
01.16.20,a2,(undiluted),2,6h,360,0.1,31,0,0,8,0,0,0.258064516,0.258064516,0.258064516
01.16.20,b2,(1:2),2,6h,360,0.05,43,4,2,7,0.093023256,0.046511628,0.162790698,0.255813953,0.209302326
01.16.20,c2,(1:3),2,6h,360,0.033333333,40,9,1,8,0.225,0.025,0.2,0.425,0.225
01.16.20,d2,(1:5),2,6h,360,0.02,50,8,2,12,0.16,0.04,0.24,0.4,0.28
01.16.20,e2,(1:20),2,6h,360,0.005,57,11,3,19,0.192982456,0.052631579,0.333333333,0.526315789,0.385964912
01.16.20,f2,(1:100),2,6h,360,0.001,68,11,0,6,0.161764706,0,0.088235294,0.25,0.088235294
01.16.20,g2,(sterile BK),2,6h,360,0,54,0,0,,0,0,0,0,0
01.16.20,a3,(undiluted),3,6h,360,0.1,36,7,0,11,0.194444444,0,0.305555556,0.5,0.305555556
01.16.20,b3,(1:2),3,6h,360,0.05,61,7,1,20,0.114754098,0.016393443,0.327868852,0.442622951,0.344262295
01.16.20,c3,(1:3),3,6h,360,0.033333333,50,11,0,2,0.22,0,0.04,0.26,0.04
01.16.20,d3,(1:5),3,6h,360,0.02,36,4,1,8,0.111111111,0.027777778,0.222222222,0.333333333,0.25
01.16.20,e3,(1:20),3,6h,360,0.005,43,11,0,10,0.255813953,0,0.23255814,0.488372093,0.23255814
01.16.20,f3,(1:100),3,6h,360,0.001,53,14,0,4,0.264150943,0,0.075471698,0.339622642,0.075471698
01.16.20,g3,(sterile BK),3,6h,360,0,40,1,0,0,0.025,0,0,0.025,0
01.16.20,a1,(undiluted),1,12h,720,0.1,46,6,0,10,0.130434783,0,0.217391304,0.347826087,0.217391304
01.16.20,b1,(1:2),1,12h,720,0.05,63,2,3,12,0.031746032,0.047619048,0.19047619,0.222222222,0.238095238
01.16.20,c1,(1:3),1,12h,720,0.033333333,68,8,3,14,0.117647059,0.044117647,0.205882353,0.323529412,0.25
01.16.20,d1,(1:5),1,12h,720,0.02,71,7,1,24,0.098591549,0.014084507,0.338028169,0.436619718,0.352112676
01.16.20,e1,(1:20),1,12h,720,0.005,64,9,1,17,0.140625,0.015625,0.265625,0.40625,0.28125
01.16.20,f1,(1:100),1,12h,720,0.001,56,8,2,17,0.142857143,0.035714286,0.303571429,0.446428571,0.339285714
01.16.20,g1,(sterile BK),1,12h,720,0,66,1,0,0,0.015151515,0,0,0.015151515,0
01.16.20,a2,(undiluted),2,12h,720,0.1,55,0,1,21,0,0.018181818,0.381818182,0.381818182,0.4
01.16.20,b2,(1:2),2,12h,720,0.05,55,2,1,14,0.036363636,0.018181818,0.254545455,0.290909091,0.272727273
01.16.20,c2,(1:3),2,12h,720,0.033333333,29,0,0,8,0,0,0.275862069,0.275862069,0.275862069
01.16.20,d2,(1:5),2,12h,720,0.02,35,5,2,13,0.142857143,0.057142857,0.371428571,0.514285714,0.428571429
01.16.20,e2,(1:20),2,12h,720,0.005,79,18,3,20,0.227848101,0.037974684,0.253164557,0.481012658,0.291139241
01.16.20,f2,(1:100),2,12h,720,0.001,65,13,4,16,0.2,0.061538462,0.246153846,0.446153846,0.307692308
01.16.20,g2,(sterile BK),2,12h,720,0,20,0,0,0,0,0,0,0,0
01.16.20,a3,(undiluted),3,12h,720,0.1,50,13,3,6,0.26,0.06,0.12,0.38,0.18
01.16.20,b3,(1:2),3,12h,720,0.05,54,9,4,13,0.166666667,0.074074074,0.240740741,0.407407407,0.314814815
01.16.20,c3,(1:3),3,12h,720,0.033333333,30,3,0,7,0.1,0,0.233333333,0.333333333,0.233333333
