row,column,Timepoint,Well ID,protein ,Treatment,microbetreatment,pollentreatment,Date
F,2,T0,F2,821.882624,30_ctrl_Fresh,30_ctrl,Fresh,4.18.21
F,3,T0,F3,760.0256,30_ctrl_Fresh,30_ctrl,Fresh,4.18.21
F,4,T0,F4,677.257816,30_ctrl_Fresh,30_ctrl,Fresh,4.18.21
F,5,T0,F5,982.649344,30_ctrl_Ungerm,30_ctrl,Ungerm,4.18.21
F,6,T0,F6,974.403224,30_ctrl_Ungerm,30_ctrl,Ungerm,4.18.21
F,7,T0,F7,1024.208024,30_ctrl_Ungerm,30_ctrl,Ungerm,4.18.21
F,8,T0,F8,901.172384,30_ctrl_Ungerm,30_ctrl,Ungerm,4.18.21
F,9,T0,F9,568.657696,30_ctrl_no pollen,30_ctrl,no pollen,4.18.21
F,10,T0,F10,798.5222,30_ctrl_no pollen,30_ctrl,no pollen,4.18.21
F,11,T0,F11,533.551256,30_ctrl_no pollen,30_ctrl,no pollen,4.18.21
F,12,T0,F12,471.7376,30_ctrl_no pollen,30_ctrl,no pollen,4.18.21
E,1,T24,E1,1775.61608,30_ctrl_Fresh,30_ctrl,Fresh,4.18.21
E,2,T24,E2,1890.27392,30_ctrl_Fresh,30_ctrl,Fresh,4.18.21
E,3,T24,E3,1816.994,30_ctrl_Fresh,30_ctrl,Fresh,4.18.21
E,4,T24,E4,1816.994,30_ctrl_Fresh,30_ctrl,Fresh,4.18.21
E,5,T24,E5,1505.75648,30_ctrl_Ungerm,30_ctrl,Ungerm,4.18.21
E,6,T24,E6,1564.304,30_ctrl_Ungerm,30_ctrl,Ungerm,4.18.21
E,7,T24,E7,1428.95648,30_ctrl_Ungerm,30_ctrl,Ungerm,4.18.21
E,8,T24,E8,1744.81952,30_ctrl_Ungerm,30_ctrl,Ungerm,4.18.21
E,9,T24,E9,694.544,30_ctrl_no pollen,30_ctrl,no pollen,4.18.21
E,10,T24,E10,619.976,30_ctrl_no pollen,30_ctrl,no pollen,4.18.21
E,11,T24,E11,649.53248,30_ctrl_no pollen,30_ctrl,no pollen,4.18.21
E,12,T24,E12,649.53248,30_ctrl_no pollen,30_ctrl,no pollen,4.18.21
F,1,T24,F1,196.16288,30_ctrl_Fresh,30_ctrl,Fresh,4.18.21
F,2,T24,F2,196.16288,30_ctrl_Fresh,30_ctrl,Fresh,4.18.21
F,3,T24,F3,143.97512,30_ctrl_Fresh,30_ctrl,Fresh,4.18.21
F,4,T24,F4,115.77152,30_ctrl_Fresh,30_ctrl,Fresh,4.18.21
F,5,T24,F5,126.98528,30_ctrl_Ungerm,30_ctrl,Ungerm,4.18.21
F,6,T24,F6,29.31008,30_ctrl_Ungerm,30_ctrl,Ungerm,4.18.21
F,7,T24,F7,66.42632,30_ctrl_Ungerm,30_ctrl,Ungerm,4.18.21
F,8,T24,F8,110.19848,30_ctrl_Ungerm,30_ctrl,Ungerm,4.18.21
F,9,T24,F9,725.00288,30_ctrl_no pollen,30_ctrl,no pollen,4.18.21
F,10,T24,F10,755.82272,30_ctrl_no pollen,30_ctrl,no pollen,4.18.21
F,11,T24,F11,732.674,30_ctrl_no pollen,30_ctrl,no pollen,4.18.21
F,12,T24,F12,656.978,30_ctrl_no pollen,30_ctrl,no pollen,4.18.21
